SKU;Nazov;Pocet_ks;Cena_net;Mena;Ukonceny
AC104BL;Klotz coaxial, unbalanced professional audio / instrument cable - conductor layer - PVC;0;1.21;EUR;0
AC104BL.030;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 30m;0;41.86;EUR;0
AC104BL.050;Klotz coaxial unbalanced professional audio / instrument cable, conductor layer, PVC, 50m;0;66.31;EUR;0
AC104BL.100;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 100m;0;120.98;EUR;0
AC104BL.200;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 200m;0;246.84;EUR;0
AC104BL.300;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 300m;0;362.22;EUR;0
AC104BL.500;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 500m;0;567.17;EUR;0
AC104RT;Klotz coaxial unbalanced professional audio/instrument cable - leading layer - PVC;0;1.21;EUR;0
AC104RT.030;Klotz coaxial unbalanced professional audio / instrument cable, conductor layer, PVC, 30m;0;41.86;EUR;0
AC104RT.050;Klotz coaxial unbalanced professional audio / instrument cable, conductor layer, PVC, 50m;0;66.31;EUR;0
AC104RT.100;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 100m;0;120.98;EUR;0
AC104RT.200;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 200m;0;246.84;EUR;0
AC104RT.300;Klotz coaxial unbalanced professional audio/instrument cable, conductor: copper, PVC, 300m;0;362.22;EUR;0
AC104RT.500;Klotz coaxial unbalanced professional audio / instrument cable, conductor layer, PVC, 500m;0;567.17;EUR;0
AC104SW;Klotz coaxial, unbalanced professional audio / instrument cable - conductor layer - PVC;0;1.21;EUR;0
AC104SW.030;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 30m;0;41.86;EUR;0
AC104SW.050;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 50m;0;66.31;EUR;0
AC104SW.100;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 100m;0;120.98;EUR;0
AC104SW.200;Klotz coaxial unbalanced pro audio/instrument cable, conductor layer, PVC, 200m;0;246.84;EUR;0
AC104SW.300;Klotz coaxial unbalanced professional audio / instrument cable, conductor layer, PVC, 300m;0;362.22;EUR;0
AC104SW.500;Klotz coaxial unbalanced professional audio/instrument cable, conductor layer, PVC, 500m;0;567.17;EUR;0
AC106SW;Klotz audio/instrument cable, prime coaxial, conductor layer, PVC;88;1.35;EUR;0
AC106SW.030;Klotz coaxial unbalanced prime audio/instrument cable, conductor layer, PVC, 30m;0;46.12;EUR;0
AC106SW.050;Klotz coaxial unbalanced prime audio/instrument cable, conductor layer, PVC, 50m;0;73.39;EUR;0
AC106SW.100;Klotz coaxial unbalanced prime audio/instrument cable, conductor layer, PVC, 100m;1;134.35;EUR;0
AC106SW.200;Klotz coaxial unbalanced prime audio/instrument cable, conductor layer, PVC, 200m;0;273.6;EUR;0
AC106SW.300;Klotz coaxial unbalanced prime audio / instrument cable, conductor layer, PVC, 300m;0;402.36;EUR;0
AC106SW.500;Klotz coaxial unbalanced prime audio/instrument cable, conductor layer, PVC, 500m;0;631.07;EUR;0
AC107;Proel rack rail, steel, black, sandblasted, 2 m;0;9.8;EUR;0
AC110;Proel rack corner, small ball;0;1;EUR;0
AC110SW;Klotz unbalanced hi-fi audio cable, coaxial - conductor layer - PVC;0;1.77;EUR;0
AC110SW.030;Klotz unbalanced hi-fi audio cable, coaxial - conductor layer - PVC - 30m;0;58.54;EUR;0
AC110SW.050;Klotz unbalanced hi-fi audio cable, coaxial - conductor layer - PVC - 50m;0;94.09;EUR;0
AC110SW.100;Klotz unbalanced hi-fi audio cable, coaxial - conductor layer - PVC - 100m;0;173.45;EUR;0
AC110SW.200;Klotz unbalanced hifi audio cable, coaxial - conductor layer - PVC - 200m;0;351.8;EUR;0
AC110SW.300;Klotz coaxial, unbalanced hi-fi audio cable - conductor layer - PVC - 300m;0;519.65;EUR;0
AC110SW.500;Klotz coaxial cable, unbalanced hi-fi audio cable - conductor layer - PVC - 500m;0;817.77;EUR;0
AC111;Proel rack corner, spherical, medium;0;1;EUR;0
AC112;Proel rack corner, large sphere;0;1.34;EUR;0
AC113;Proel rack handle, galvanized steel, PVC covered handle, size: 8 mm;0;4.98;EUR;0
AC114;Proel rack handle, steel strap, rubber coating, nickel-plated steel mounting;0;5.84;EUR;0
AC116;Proel rack lock, chrome steel with key;0;4.74;EUR;0
AC117;Proel rack butterfly latch, medium, galvanized steel, size: 12 mm;0;7.34;EUR;0
AC118;Proel rack butterfly latch, small, galvanized steel, size: 9 mm;0;7.34;EUR;0
AC121;Proel rack corner support 90°, large, chrome-plated or galvanized steel, 1.2 mm thick, 4 holes;0;0.54;EUR;0
AC123Z;Proel rack bracket, large, galvanized steel, 1.2 mm thick, 8 holes;0;1.59;EUR;0
AC124;Proel rack bracket, heavy-duty, galvanized steel, 2.2 mm thick, 7 holes;0;2.44;EUR;0
AC131;Proel rack connector profile, aluminum, 7 mm edge, 2 m;0;2.92;EUR;0
AC132;Proel rack joining profile, aluminum 10 mm edge, 2 m;0;4.02;EUR;0
AC133;Proel rack profile, single, aluminum, 90°, 22x22 mm edge, 2 m;0;2.92;EUR;0
AC134;Proel rack profile, double, aluminum, 90°, 7 mm edge, 2 m;0;3.89;EUR;0
AC140;Proel rack foam 10 mm, anthracite-grey, adhesive polyester foam, roll height: 1220 mm;0;15.85;EUR;0
AD4SH;Proel connector, Shure TA4F connector for HCM08PRO headworn microphone;1;20.4;EUR;0
ADP12V2AS1SX7EU;Dexibell power supply, compatible with VIVO S1 and SX7 devices;2;9.17;EUR;0
ADP24V120WH7EU;Dexibell power supply, with cable for VIVO H7 keyboard;0;34.06;EUR;0
ADP24V60WEU;Dexibell power supply with cable for COMBO J7 piano;2;14.41;EUR;0
ADP24V60WS9EU;Dexibell power supply with cable, for VIVO S9, S7PRO and S3PRO devices;0;15.72;EUR;0
ADRK1AZ;Proel rack shelf, 1U, black, metal, depth: 254 mm, thickness: 1.5 mm;0;15.26;EUR;0
ADRK1PE;Proel rack sliding shelf, 1U, black, metal, size: 379 mm, thickness: 1.5 mm;0;29.21;EUR;0
ADRK2AZ;Proel rack shelf, 2U black, metal, size: 371 mm, thickness: 1.5 mm;0;20.31;EUR;0
ADRK2PE;Proel rack drawer, 1U, pull-out, black, metal, inner size: 315 mm;0;61.57;EUR;0
ADRK2RD;Proel rack drawer, 2U, lockable, black, metal, internal dimension: 340 mm, width: 405 mm;5;41.27;EUR;0
ADRK3AZ;Proel rack shelf, 3U, black, metal, dimensions: 371 mm, thickness: 1.5 mm;0;30.33;EUR;0
ADRK3RD;Proel rack drawer, 2U, lockable, black, metal, internal dimension: 340 mm, width: 405 mm;2;47.16;EUR;0
ADRK4CR;Proel rack drawer, 4U, lockable, black, metal, internal, dimensions: 340 mm, width: 405 mm;1;88.03;EUR;1
AES3N1PBD-050;Klotz AES and DMX cable reel, double shielded PUR XLR 3p female/male Neutrik - 50m;0;212.04;EUR;0
AES3N1PBD-060;Klotz cable reel, dual-shield AES and DMX - PUR XLR 3p female/male Neutrik - 60m;0;229.12;EUR;0
AES3N1PBD-080;Klotz digital signal and DMX cable reel, double shielded AES and DMX, XLR 3p female/male - 80m;0;263.25;EUR;0
AES3N1PBD-100;Klotz cable reel, double shielded AES and DMX - PUR XLR 3p female/male Neutrik - 100m;0;354.75;EUR;0
AES3N2YSD-050;Klotz cable reel, dual shielded AES and DMX - PVC XLR 3p female/male Neutrik - 50m;0;192.93;EUR;0
AES3N2YSD-060;Klotz cable reel, double shielded AES and DMX, PVC XLR 3p female/male Neutrik - 60m;0;206.18;EUR;0
AES3N2YSD-080;Klotz cable reel, dual shielded AES and DMX - PVC XLR 3p female/male Neutrik - 80m;0;232.68;EUR;0
AES3N2YSD-100;Klotz cable reel, double shielded AES and DMX - PVC XLR 3p female/male Neutrik - 100m;0;316.53;EUR;0
AES3N4YSD-050;Klotz cable reel, low loss AES and DMX - PVC XLR 3p female/male Neutrik - 50m;0;203.12;EUR;0
AES3N4YSD-075;Klotz cable reel, low loss AES and DMX - PVC XLR 3p female/male Neutrik - 75m;0;241.35;EUR;0
AES3N4YSD-100;Klotz cable reel, low loss AES and DMX - PVC XLR 3p female/male Neutrik - 100m;0;334.74;EUR;0
AES3N4YSD-150;Klotz cable drum, low-loss AES and DMX, PVC XLR 3p female/male Neutrik - 150m;0;533.8;EUR;0
AES3N4YSD-200;Klotz low loss AES and DMX cable reel, PVC XLR 3p female/male Neutrik - 200m;0;610.23;EUR;0
AEY122;Klotz AES/EBU (DMX) patch cable 2 x 0.22 mm² - PVC;0;1.44;EUR;0
AEY122.050;Klotz AES/EBU (DMX) patch cable, 2 x 0.22 mm² - PVC - 50m;0;75.01;EUR;0
AEY122.100;Klotz AES/EBU (DMX) patch cable, 2 x 0.22 mm² - PVC - 100m;0;142.93;EUR;0
AEY122.200;Klotz patch cable, AES/EBU (DMX) 2 x 0.22 mm² - PVC - 200m;0;280.82;EUR;0
AEY122.300;Klotz AES/EBU (DMX) patch cable, 2 x 0.22 mm² - PVC - 300m;0;418.75;EUR;0
AEY122.500;Klotz AES/EBU (DMX) patch cable, 2 x 0.22 mm² - PVC - 500m;0;673.75;EUR;0
AH0020KRY1;Klotz cable, 40p male to 20x XLR female 20-channel analog fanout PVC 1.2m;0;329.49;EUR;0
AH2000KRY1;Klotz cable, analog fanout 20-channel XLR male - 1.2m PVC;0;298.14;EUR;0
AL-RF0030;Klotz RCA - XLR female cable, gold-plated contacts - 0.3m;0;22.08;EUR;0
AL-RF0060;Klotz RCA - XLR female cable, gold-plated contacts RCA - XLR 3p female - 0.6m;0;22.43;EUR;0
AL-RF0090;Klotz RCA - XLR female cable, gold-plated contacts - 0.9m;0;23.22;EUR;0
AL-RF0150;Klotz RCA - XLR female cable, gold-plated contacts - 1.5m;0;24.82;EUR;0
AL-RF0300;Klotz RCA - XLR female cable, gold-plated contacts - 3m;0;26.14;EUR;0
AL-RM0030;Klotz RCA - XLR male cable, gold-plated connectors - 0.3m;0;20.67;EUR;0
AL-RM0060;Klotz RCA - XLR male cable, gold-plated connectors - 0.6m;0;20.94;EUR;0
AL-RM0090;Klotz RCA - XLR male cable, gold-plated contacts - 0.9m;0;21.54;EUR;0
AL-RM0150;Klotz RCA - XLR male cable, gold-plated contacts - 1.5m;0;23.32;EUR;0
AL-RM0300;Klotz RCA - XLR male cable, gold-plated contacts - 3m;0;24.73;EUR;0
AL-RP0030;Klotz RCA - Jack cable, gold-plated contacts - 0.3m;0;18.91;EUR;0
AL-RP0060;Klotz RCA - Jack cable, gold-plated connectors - 0.6m;0;19.25;EUR;0
AL-RP0090;Klotz RCA - Jack cable, gold-plated contacts - 0.9m;0;19.88;EUR;0
AL-RP0150;Klotz RCA - Jack cable, gold-plated contacts - 1.5m;0;21.01;EUR;0
AL-RP0300;Klotz RCA - Jack cable, gold-plated connectors - 3m;0;24.38;EUR;0
AL-RR0030;Klotz RCA cable, gold plated connectors - 0.3m;0;18.82;EUR;0
AL-RR0060;Klotz RCA cable, gold-plated connectors - 0.6m;0;18.99;EUR;0
AL-RR0090;Klotz RCA cable, gold-plated connectors - 0.9m;0;19.25;EUR;0
AL-RR0150;Klotz RCA cable, gold-plated connectors - 1.5m;0;20.76;EUR;0
AL-RR0300;Klotz RCA cable, gold-plated connectors - 3m;0;23.05;EUR;0
ALH-10 Fp Piñana + case;Alhambra Guitar German spruce, solid Indian rosewood, ebony fingerboard, with case;0;1070.08;EUR;0
ALH-10 Premier + case;Alhambra guitar cedar, solid Indian rosewood (concert size) ebony fingerboard, with case;0;1128.96;EUR;0
ALH-10Fc + case;Alhambra guitar, German spruce, solid cypress, ebony fingerboard, with case;0;1158.4;EUR;0
ALH-11P + case;Alhambra acoustic guitar, cedar solid Indian rosewood, ebony fingerboard, 20 frets. With case.;0;1332.48;EUR;0
ALH-1C;Alhambra guitar 1 C cedar, mahogany, Indian rosewood fretboard. Bound.;0;211.2;EUR;0
ALH-1C Black Satin;Alhambra Acoustic Guitar 1 C Black Satin, cedar, mahogany, Indian rosewood fingerboard. Bordered.;0;253.44;EUR;0
ALH-1C Black Satin + case;Alhambra acoustic guitar 1C Black Satin, cedar, black mahogany, rosewood fingerboard, with case;0;267.52;EUR;0
ALH-1C E1;Alhambra Guitar 1 C cedar, mahogany, Indian rosewood fingerboard. Bound, Fishman preamp (E2);0;321.28;EUR;0
ALH-1C EZ;Alhambra guitar 1 C cedar, mahogany, Indian rosewood fingerboard. Bound, Fishman preamp (E2);0;279.04;EUR;0
ALH-1C HT;Alhambra classical guitar, Hybrid Terra;0;240.64;EUR;0
ALH-1C LH;Alhambra guitar 1 C, cedar, mahogany, Indian rosewood fingerboard, left-handed;0;241.92;EUR;0
ALH-1OP C;Alhambra guitar 1 OP Cadet (3/4) red cedar, mahogany, Indian rosewood fingerboard, bound.;0;192;EUR;0
ALH-1OP R;Alhambra acoustic guitar, 1/2 red cedar, mahogany, Indian rosewood fretboard, bordered;1;192;EUR;0
ALH-1OP S;Alhambra Guitar 1 OP Senorita (7/8) red cedar, mahogany, Indian rosewood fretboard, bound.;0;192;EUR;0
ALH-2C;Alhambra guitar 2 C, cedar, mahogany, Indian rosewood fingerboard. Double bound.;0;291.84;EUR;0
ALH-2C + case;Alhambra Acoustic Guitar 2 C cedar, mahogany back, rosewood fretboard, double bound, with case;0;305.92;EUR;0
ALH-2C A;Alhambra guitar 2 C, solid spruce, mahogany, indian rosewood fingerboard. Double bound;0;286.72;EUR;0
ALH-2C A + case;Alhambra acoustic guitar, solid spruce, mahogany, Indian rosewood fingerboard, double bound, w. case;0;300.8;EUR;0
ALH-2F Pickguard;Alhambra guitar pickguard, solid cedar, solid maple, fig wood, Indian rosewood fingerboard;0;293.12;EUR;0
ALH-3 OP;Alhambra Acoustic Guitar 3 OP, cedar, mahogany, Indian rosewood fingerboard, bound.;0;245.76;EUR;0
ALH-3C;Alhambra Guitar 3 C cedar, mahogany, Indian rosewood binding, Indian rosewood fingerboard;0;334.08;EUR;0
ALH-3C A;Alhambra acoustic guitar, solid spruce, mahogany, Indian rosewood fretboard, double binding;0;327.68;EUR;0
ALH-3C CT E1;Alhambra Guitar 3 C-CT-E1, cedar, mahogany, Indian rosewood fingerboard. Fishman preamp (E1);0;522.24;EUR;0
ALH-3C CW E1;Alhambra Guitar 3 C-CW-E1 Cedar, mahogany, Indian rosewood fingerboard. Fishman preamp (E1);0;522.24;EUR;0
ALH-3C E1;Alhambra Guitar 3 C Cedar, mahogany, Indian rosewood fingerboard, Fishman preamp(E2);0;387.84;EUR;0
ALH-3C LH;Alhambra guitar 3 C cedar, mahogany, Indian rosewood fingerboard, 2-sided inlay, left-handed;0;371.2;EUR;0
ALH-3F CT E1;Alhambra Guitar 3 F-CT-E1 Cedar, mahogany, Indian rosewood fingerboard. Fishman preamp (E1);0;564.48;EUR;0
ALH-3F CW E1;Alhambra Acoustic Guitar 3 F-CW-E1 Cedrus, mahogany, Indian rosewood fingerboard. Fishman preamp;0;564.48;EUR;0
ALH-3F G;Alhambra guitar, solid spruce, fig tree, Indian rosewood fingerboard, transparent pickguard;0;373.76;EUR;0
ALH-3F G + case;Alhambra acoustic guitar 3 F solid spruce, fig tree, Indian rosewood fingerboard, with case;0;387.84;EUR;0
ALH-4 OP;Alhambra Guitar 4 OP, cedar, Indian rosewood, ebony fingerboard;0;322.56;EUR;0
ALH-4F Pickguard;Alhambra guitar, solid spruce, fig wood, ebony fretboard, orange lacquer, transparent pickguard;0;432.64;EUR;0
ALH-4P;Alhambra Guitar 4P cedar, Indian rosewood, ebony fingerboard;0;431.36;EUR;0
ALH-4P + case;Alhambra Guitar 4P Cedar, Indian Rosewood, Ebony Fingerboard, with Case;0;478.72;EUR;0
ALH-4P A;Alhambra guitar 4 P A, solid spruce, Indian rosewood, ebony fingerboard;0;414.72;EUR;0
ALH-4P A + case;Alhambra acoustic guitar 4 P A, solid spruce, Indian rosewood, ebony fingerboard, with case;0;462.08;EUR;0
ALH-4P E1;Alhambra guitar 4 P, cedar, Indian rosewood, ebony fingerboard, Fishman preamp (E2);0;568.32;EUR;0
ALH-4P LH;Alhambra guitar 4 P cedar, Indian rosewood, ebony fingerboard, left-handed;0;482.56;EUR;0
ALH-5 P CW E8;Alhambra guitar, 5 P CW E8;0;838.4;EUR;0
ALH-5FP OP Piñana;Alhambra acoustic guitar, German spruce, Indian rosewood, ebony fingerboard, transparent pick guard;0;538.88;EUR;0
ALH-5P;Alhambra Guitar 5P cedar, Indian rosewood, ebony fretboard, ebony neck reinforcement;0;547.84;EUR;0
ALH-5P A;Alhambra guitar, solid spruce, Indian rosewood, ebony fingerboard;0;526.08;EUR;0
ALH-5P CT E2;Alhambra Guitar Indian rosewood, ebony fingerboard, internal neck reinforcement, Fishman preamp;0;838.4;EUR;0
ALH-5P E1;Alhambra Guitar 5 P Cedar, Indian Rosewood, Ebony Fingerboard, Fishman Preamp (E2);0;556.8;EUR;0
ALH-5P LH;Alhambra Guitar 5 P Cedar, Indian rosewood, ebony fingerboard, Left-handed;0;600.32;EUR;0
ALH-6P;Alhambra acoustic guitar cedar Indian rosewood, (concert size) ebony fingerboard.;0;596.48;EUR;0
ALH-7C Classic;Alhambra guitar 7 C Classic cedar, solid mahogany, (concert size) ebony fingerboard.;0;619.52;EUR;0
ALH-7Fc;Alhambra acoustic guitar, German spruce, solid cypress, ebony fretboard, transparent pick guard.;0;677.12;EUR;0
ALH-7Fc CT E2;Alhambra guitar german spruce, solid cypress, ebony fingerboard. Fishman preamp (E2);0;972.8;EUR;0
ALH-7P A;Alhambra Acoustic Guitar 7 P A Spruce, solid Indian rosewood, (concert size) ebony fingerboard;0;797.44;EUR;0
ALH-7P Classic;Alhambra Classic Guitar, solid cedar, Indian rosewood, (concert size) ebony fingerboard;0;727.04;EUR;0
ALH-8Fc;Alhambra guitar, German spruce, solid cypress, ebony fingerboard, transparent pick guard.;0;721.92;EUR;0
ALH-8P;Alhambra acoustic guitar cedar, solid Indian rosewood, ebony fingerboard, ebony neck reinforcement;0;865.28;EUR;0
ALH-9P + case;Alhambra guitar cedar, solid Indian rosewood, (concert size) ebony fretboard. With case;0;1080.32;EUR;0
ALH-9P A + case;Alhambra acoustic guitar, German spruce, solid Indian rosewood, ebony fingerboard. With case;0;1080.32;EUR;0
ALH-9P LH + case;Alhambra Guitar 9 P Cedar, solid Indian rosewood, ebony fingerboard, left-handed, with case;0;1141.76;EUR;0
ALH-B-11 P A + case;Alhambra acoustic guitar, German spruce, Indian rosewood, ebony fingerboard, Calvete type, with case;0;883.2;EUR;0
ALH-B-2C OP;Alhambra acoustic guitar B-2 OP, cedar, mahogany, Indian rosewood fingerboard;0;271.36;EUR;0
